query_assembly	subject_assembly	query_seqid	subject_seqid	pctid	ani
GCF_008281175.1	GCF_902377585.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_CABLCF010000108.1_rrna_52	99.9	0.9997004215309978
GCF_008281175.1	GCF_005844135.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_SPFR01000039.1_rrna_42	99.9	0.9868463968420206
GCF_008281175.1	GCF_015550395.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JADNAU010000039.1_rrna_39	99.9	0.9868463968420206
GCF_008281175.1	GCF_003475365.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QRQE01000022.1_rrna_23	95.3	0.8338105049099618
GCF_008281175.1	GCF_000507805.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_KI669418.1_rrna_57	95.3	0.8367042354999743
GCF_008281175.1	GCF_004346095.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_SLZV01000063.1_rrna_66	95.0	0.830780315969257
GCF_008281175.1	GCF_003603645.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QVHD01000007.1_rrna_39	94.9	0.8350504224584355
GCF_008281175.1	GCF_000471845.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_BAHS01000094.1_rrna_1	94.6	0.828760839326408
GCF_008281175.1	GCF_012524165.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JABACJ010000429.1_rrna_29	94.5	0.8435054773082942
GCF_008281175.1	GCF_000169235.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_AAXA02000007.1_rrna_66	94.5	0.8485087134750914
GCF_008281175.1	GCF_003460005.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QRXO01000038.1_rrna_31	94.5	0.8397529683191717
GCF_008281175.1	GCF_001404635.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_CYYM01000040.1_rrna_65	94.3	0.8376967015736125
GCF_008281175.1	GCF_013300055.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JAAINJ010000064.1_rrna_61	94.2	0.8381920369786742
GCF_008281175.1	GCF_013300085.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JAAINH010000068.1_rrna_61	94.2	0.8347261663286004
GCF_008281175.1	GCF_013300125.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JAAINM010000061.1_rrna_58	94.2	0.8381920369786742
GCF_008281175.1	GCF_013300245.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JAAINP010000065.1_rrna_59	94.2	0.8381920369786742
GCF_008281175.1	GCF_013300405.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JAAILO010000061.1_rrna_65	94.2	0.8345556835897784
GCF_008281175.1	GCF_001405135.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_CYYY01000010.1_rrna_37	94.1	0.836016422667603
GCF_008281175.1	GCF_902362525.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_CABIWY010000010.1_rrna_37	94.1	0.836016422667603
GCF_008281175.1	GCF_004345005.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_SMMX01000046.1_rrna_43	94.0	0.8469980836863882
GCF_008281175.1	GCF_003149245.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QGDL01000033.1_rrna_68	94.0	0.8398418565196316
GCF_008281175.1	GCF_900115945.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_UETE01000033.1_rrna_30	94.0	0.8398418565196316
GCF_008281175.1	GCF_013299925.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JAAINA010000074.1_rrna_59	93.9	0.8286373786285972
GCF_008281175.1	GCF_013300805.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JAAIMV010000066.1_rrna_57	93.9	0.8286373786285972
GCF_008281175.1	GCF_900086625.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_FLKL01000002.1_rrna_15	93.9	0.8438504617573521
GCF_008281175.1	GCF_900086625.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_FLKL01000002.1_rrna_2	93.8	0.8438504617573521
GCF_008281175.1	GCF_900086625.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_FLKL01000002.1_rrna_26	93.8	0.8438504617573521
GCF_008281175.1	GCF_900086625.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_FLKL01000002.1_rrna_42	93.8	0.8438504617573521
GCF_008281175.1	GCF_003462235.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QTYQ01000027.1_rrna_52	93.7	0.8247322613000291
GCF_008281175.1	GCF_003462005.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QTYE01000055.1_rrna_60	93.7	0.8252483748313504
GCF_008281175.1	GCF_003464355.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QRYR01000008.1_rrna_45	93.7	0.8441905404720622
GCF_008281175.1	GCF_003462065.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QTYH01000039.1_rrna_56	93.6	0.8266666666666667
GCF_008281175.1	GCF_015667315.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JADPDU010000037.1_rrna_45	93.6	0.8359754588440647
GCF_008281175.1	GCF_001405415.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_CZBR01000024.1_rrna_64	93.5	0.8270878317197186
GCF_008281175.1	GCF_902167735.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_CABHNM010000003.1_rrna_1	93.5	0.8355174991888727
GCF_008281175.1	GCF_014287705.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JACOOY010000033.1_rrna_61	93.5	0.8416796057517046
GCF_008281175.1	GCF_003478575.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QUFR01000028.1_rrna_34	93.5	0.8398621873343598
GCF_008281175.1	GCF_003435815.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QTUV01000005.1_rrna_47	93.5	0.8403270815757025
GCF_008281175.1	GCF_003473885.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_QUCZ01000004.1_rrna_35	93.5	0.8401056297005864
GCF_008281175.1	GCF_013299825.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_JAAIMS010000071.1_rrna_53	93.3	0.8334528076463561
GCF_008281175.1	GCF_009875725.1	lcl|NZ_CP036524.1_rrna_2	lcl|NZ_WWSE01000015.1_rrna_21	93.3	0.8401230135612968
